step,scenario_id,device_type,network_condition,cloud_condition,edge_cpu,edge_ram,edge_battery,bandwidth,latency,queue_delay,workload_cpu,workload_ram,workload_energy,cloud_workload
9,3,smartphone,good,busy,58.61,25.9,99.51,95.78,10.04,42.6,19.19,3.15,1.36,9.36
10,3,smartphone,good,busy,52.55,25.73,99.47,95.94,9.64,45.3,14.33,4.5,0.68,6.14
11,3,smartphone,good,busy,56.22,26.77,99.43,96.11,9.44,48.34,19.36,5.88,0.86,8.16
12,3,smartphone,good,busy,51.6,28.95,99.38,92.91,9.59,51.63,14.94,7.86,1.14,8.6
13,3,smartphone,good,busy,44.85,30.46,99.32,94.36,9.08,54.48,10.34,7.85,1.34,6.87
14,3,smartphone,good,busy,56.41,30.89,99.28,94.33,9.12,57.63,21.78,7.47,0.56,9.09
15,3,smartphone,good,busy,59.06,30.52,99.24,95.65,9.05,60.98,20.44,6.77,0.95,9.09
16,3,smartphone,good,busy,61.95,28.94,99.19,96.38,8.77,64.48,22.5,4.91,0.9,8.22
17,3,smartphone,good,busy,59.73,29.65,99.14,100.64,8.69,67.89,18.85,7.18,1.19,7.25
18,3,smartphone,good,busy,63.68,27.71,99.08,101.96,8.51,71.23,23.29,4.08,1.45,7.04
19,3,smartphone,good,busy,59.44,29.4,99.02,99.53,8.61,74.5,18.86,7.34,1.14,8.51
0,4,smartphone,moderate,idle,46.33,23.91,99.95,48.86,23.06,4.98,23.32,5.0,1.09,1.6
1,4,smartphone,moderate,idle,59.0,23.41,99.91,48.91,22.7,4.93,24.21,3.16,0.57,2.38
2,4,smartphone,moderate,idle,61.4,23.64,99.85,48.27,23.1,5.09,22.65,3.68,1.42,2.02
3,4,smartphone,moderate,idle,66.55,25.17,99.81,48.38,23.21,5.04,24.62,5.39,0.66,0.72
4,4,smartphone,moderate,idle,64.99,26.67,99.77,48.09,23.15,5.05,21.23,5.72,0.61,0.94
5,4,smartphone,moderate,idle,51.88,26.17,99.73,52.86,22.13,5.01,11.6,4.77,0.57,0.93
6,4,smartphone,moderate,idle,48.41,26.07,99.68,52.27,22.35,5.02,12.76,4.51,1.27,0.63
7,4,smartphone,moderate,idle,57.11,27.38,99.64,49.33,22.23,5.05,20.68,6.38,0.56,1.9
8,4,smartphone,moderate,idle,56.29,26.73,99.59,48.21,22.22,5.07,18.4,4.83,1.25,1.18
9,4,smartphone,moderate,idle,48.82,25.44,99.53,47.52,22.65,5.0,10.99,3.5,1.36,1.8
10,4,smartphone,moderate,idle,54.58,24.81,99.49,47.04,22.65,5.07,20.74,3.93,0.8,1.64
11,4,smartphone,moderate,idle,46.93,27.32,99.44,48.91,22.4,5.14,10.53,6.87,0.87,0.85
12,4,smartphone,moderate,idle,54.6,25.45,99.4,46.92,22.81,5.09,19.76,3.68,0.88,2.13
13,4,smartphone,moderate,idle,57.74,24.88,99.35,45.16,23.67,5.14,20.57,3.74,0.88,1.08
14,4,smartphone,moderate,idle,47.62,24.38,99.29,41.31,24.75,5.14,10.62,3.26,1.48,1.49
15,4,smartphone,moderate,idle,57.78,27.43,99.26,41.98,25.01,5.13,23.46,7.56,0.56,1.16
16,4,smartphone,moderate,idle,53.62,27.54,99.22,43.69,24.93,5.12,14.6,5.78,0.74,1.14
17,4,smartphone,moderate,idle,56.63,27.14,99.18,43.35,24.78,4.96,19.92,4.36,0.56,1.34
18,4,smartphone,moderate,idle,55.43,25.77,99.12,40.1,25.97,4.94,17.35,3.31,1.26,0.5
19,4,smartphone,moderate,idle,61.81,24.49,99.07,38.79,26.61,4.88,22.72,3.37,1.15,1.36
0,5,smartphone,moderate,moderate,35.71,24.42,99.96,46.91,23.53,12.13,15.28,5.15,0.95,3.2
1,5,smartphone,moderate,moderate,45.07,23.8,99.92,45.05,24.04,12.21,16.28,3.12,0.6,4.53
2,5,smartphone,moderate,moderate,51.62,25.44,99.86,44.52,24.33,12.26,17.22,5.73,1.42,3.13
3,5,smartphone,moderate,moderate,52.04,27.93,99.82,43.35,25.25,12.34,15.39,7.79,0.53,4.89
4,5,smartphone,moderate,moderate,55.93,28.43,99.77,42.63,25.77,12.18,19.01,5.79,1.26,5.57
5,5,smartphone,moderate,moderate,52.46,27.25,99.73,44.65,25.61,12.1,15.01,4.81,0.88,3.75
6,5,smartphone,moderate,moderate,56.96,28.74,99.67,47.01,25.19,12.09,19.73,7.41,1.43,4.27
7,5,smartphone,moderate,moderate,56.52,28.9,99.62,45.85,24.97,12.0,19.07,6.37,0.79,4.2
8,5,smartphone,moderate,moderate,57.35,27.34,99.57,46.5,25.01,11.91,18.33,4.31,1.03,4.86
9,5,smartphone,moderate,moderate,59.77,28.49,99.52,47.24,24.7,11.73,20.95,7.0,1.11,3.62
10,5,smartphone,moderate,moderate,56.11,29.8,99.46,47.89,24.23,11.71,17.28,7.81,1.49,3.2
