step,scenario_id,device_type,network_condition,cloud_condition,edge_cpu,edge_ram,edge_battery,bandwidth,latency,queue_delay,workload_cpu,workload_ram,workload_energy,cloud_workload
3,13,raspberry_pi,moderate,idle,51.24,30.09,100.0,45.09,23.9,5.04,10.62,4.15,1.21,1.97
4,13,raspberry_pi,moderate,idle,50.74,29.58,100.0,46.54,23.38,5.14,10.79,4.16,1.0,1.71
5,13,raspberry_pi,moderate,idle,54.63,32.62,100.0,42.41,24.27,5.09,14.58,7.15,0.61,1.95
6,13,raspberry_pi,moderate,idle,58.87,30.85,100.0,46.84,24.3,4.99,15.43,4.02,0.97,1.59
7,13,raspberry_pi,moderate,idle,59.33,29.41,100.0,52.06,23.17,4.93,14.53,3.65,1.2,0.78
8,13,raspberry_pi,moderate,idle,66.37,28.62,100.0,51.59,22.84,4.83,19.04,3.53,1.32,0.81
9,13,raspberry_pi,moderate,idle,62.89,28.89,100.0,52.07,22.51,4.93,14.47,4.35,0.58,1.68
10,13,raspberry_pi,moderate,idle,66.06,30.45,100.0,51.55,21.94,5.1,17.3,5.41,1.05,1.54
11,13,raspberry_pi,moderate,idle,60.83,30.28,100.0,50.13,21.59,5.06,12.62,4.38,1.48,1.29
12,13,raspberry_pi,moderate,idle,60.52,30.63,100.0,51.63,21.82,4.87,15.33,5.09,1.2,1.39
13,13,raspberry_pi,moderate,idle,59.44,30.76,100.0,54.01,21.54,4.96,13.0,4.64,1.03,0.6
14,13,raspberry_pi,moderate,idle,66.59,30.3,100.0,54.57,21.0,4.88,19.69,4.04,1.44,1.53
15,13,raspberry_pi,moderate,idle,65.53,32.24,100.0,53.38,21.07,4.93,16.68,6.24,0.51,1.11
16,13,raspberry_pi,moderate,idle,68.5,30.83,100.0,55.23,20.63,4.9,18.93,4.27,0.98,1.2
17,13,raspberry_pi,moderate,idle,76.41,29.98,100.0,54.98,20.19,4.89,23.11,4.03,1.01,1.44
18,13,raspberry_pi,moderate,idle,79.13,31.14,100.0,52.55,20.76,4.91,22.12,5.38,1.45,0.61
19,13,raspberry_pi,moderate,idle,73.7,31.44,100.0,52.73,21.13,4.98,16.39,5.14,0.89,1.02
0,14,raspberry_pi,moderate,moderate,51.31,27.68,100.0,48.9,23.63,11.85,24.49,5.8,0.97,4.74
1,14,raspberry_pi,moderate,moderate,54.5,28.63,100.0,49.75,23.5,11.69,13.46,4.87,0.57,3.12
2,14,raspberry_pi,moderate,moderate,56.02,31.42,100.0,49.97,23.54,11.94,13.11,6.8,0.71,4.06
3,14,raspberry_pi,moderate,moderate,55.59,33.55,100.0,49.96,23.22,11.77,12.33,7.51,0.69,5.41
4,14,raspberry_pi,moderate,moderate,60.39,33.95,100.0,50.15,22.89,11.7,16.66,6.57,0.63,5.62
5,14,raspberry_pi,moderate,moderate,59.8,31.38,100.0,48.18,22.75,11.77,12.85,3.68,1.0,3.22
6,14,raspberry_pi,moderate,moderate,67.34,32.19,100.0,47.62,23.35,11.93,20.12,5.92,0.5,4.13
7,14,raspberry_pi,moderate,moderate,65.42,31.63,100.0,47.88,23.27,12.04,15.78,4.8,1.29,3.4
8,14,raspberry_pi,moderate,moderate,68.0,30.06,100.0,45.54,23.12,11.91,17.49,3.22,1.4,5.6
9,14,raspberry_pi,moderate,moderate,64.86,31.51,100.0,45.38,23.26,11.82,14.54,5.91,0.96,5.28
10,14,raspberry_pi,moderate,moderate,72.81,33.64,100.0,44.56,23.98,11.97,22.44,7.31,0.66,3.48
11,14,raspberry_pi,moderate,moderate,66.38,34.71,100.0,47.51,24.05,12.09,14.34,6.93,0.74,3.68
12,14,raspberry_pi,moderate,moderate,71.76,32.32,100.0,50.4,23.06,11.88,21.18,4.51,0.72,3.75
13,14,raspberry_pi,moderate,moderate,73.41,33.5,100.0,52.31,22.27,11.93,19.32,6.95,0.64,4.77
14,14,raspberry_pi,moderate,moderate,62.99,33.93,100.0,51.51,21.84,11.88,10.62,6.41,0.99,5.01
15,14,raspberry_pi,moderate,moderate,60.46,33.24,100.0,51.64,22.26,11.95,12.24,5.91,1.37,3.61
16,14,raspberry_pi,moderate,moderate,57.41,34.94,100.0,51.47,21.88,11.92,11.73,7.8,1.45,4.83
17,14,raspberry_pi,moderate,moderate,54.83,31.39,100.0,52.63,21.23,11.89,12.01,3.66,1.4,5.64
18,14,raspberry_pi,moderate,moderate,59.87,34.13,100.0,53.76,20.34,11.76,16.3,7.69,1.22,3.89
19,14,raspberry_pi,moderate,moderate,72.87,34.02,100.0,55.42,20.33,11.82,24.48,6.21,1.44,3.38
0,15,raspberry_pi,moderate,busy,33.02,27.83,100.0,46.52,23.21,25.37,10.64,5.95,0.52,6.9
1,15,raspberry_pi,moderate,busy,53.88,31.7,100.0,42.53,24.3,26.35,19.54,7.42,0.52,9.39
2,15,raspberry_pi,moderate,busy,61.83,31.02,100.0,43.27,24.54,27.95,19.07,4.89,1.48,8.72
3,15,raspberry_pi,moderate,busy,70.09,32.36,100.0,44.68,25.18,29.84,22.2,6.08,1.07,9.23
4,15,raspberry_pi,moderate,busy,63.52,32.41,100.0,41.0,25.73,32.12,12.32,5.93,0.93,9.05
5,15,raspberry_pi,moderate,busy,61.4,34.59,100.0,39.36,26.36,35.05,13.3,7.91,1.36,9.88
6,15,raspberry_pi,moderate,busy,64.28,34.2,100.0,39.18,26.44,38.05,16.69,6.19,0.95,9.63
7,15,raspberry_pi,moderate,busy,58.63,32.9,100.0,39.84,27.03,41.05,10.68,5.33,1.07,7.22
8,15,raspberry_pi,moderate,busy,61.18,32.24,100.0,41.41,26.72,44.54,15.24,4.84,1.09,8.99
9,15,raspberry_pi,moderate,busy,68.6,31.14,100.0,43.04,26.79,47.7,20.27,4.39,0.66,6.36
10,15,raspberry_pi,moderate,busy,62.71,32.6,100.0,44.93,26.29,51.21,12.2,6.48,1.22,9.38
11,15,raspberry_pi,moderate,busy,73.19,31.51,100.0,45.26,25.99,54.52,22.68,4.24,1.37,6.51
12,15,raspberry_pi,moderate,busy,60.87,30.34,100.0,43.9,25.47,57.87,10.36,3.79,1.21,9.11
13,15,raspberry_pi,moderate,busy,65.19,30.21,100.0,41.85,25.77,61.29,17.99,4.89,0.67,8.07
14,15,raspberry_pi,moderate,busy,67.33,33.08,100.0,37.69,26.7,64.62,16.18,7.02,0.64,7.6
15,15,raspberry_pi,moderate,busy,75.98,34.07,100.0,40.18,27.16,67.61,23.29,6.78,1.38,6.23
16,15,raspberry_pi,moderate,busy,73.72,33.83,100.0,42.92,26.82,70.78,18.62,6.22,0.76,8.41
17,15,raspberry_pi,moderate,busy,73.4,31.39,100.0,44.6,26.3,74.39,18.31,3.92,1.24,9.4
18,15,raspberry_pi,moderate,busy,70.89,31.91,100.0,47.76,24.96,77.78,16.25,5.83,1.46,6.59
19,15,raspberry_pi,moderate,busy,77.05,29.62,100.0,47.92,24.18,81.25,22.72,3.05,0.77,7.89
0,16,raspberry_pi,poor,idle,45.59,25.97,100.0,15.3,55.47,4.99,18.71,4.03,1.14,1.12
1,16,raspberry_pi,poor,idle,52.31,30.75,100.0,15.05,54.41,5.13,14.32,7.38,1.47,1.43
2,16,raspberry_pi,poor,idle,66.48,29.49,100.0,13.34,54.53,5.16,23.08,3.52,0.99,2.29
3,16,raspberry_pi,poor,idle,64.81,28.81,100.0,13.17,54.94,5.04,15.52,3.51,1.17,0.87
4,16,raspberry_pi,poor,idle,73.64,29.01,100.0,12.14,56.01,5.16,23.02,4.55,1.11,0.98
5,16,raspberry_pi,poor,idle,70.59,28.67,100.0,10.83,57.68,5.13,16.72,3.65,1.22,0.83
6,16,raspberry_pi,poor,idle,65.99,31.08,100.0,9.08,59.91,5.0,13.76,6.59,0.98,1.76
7,16,raspberry_pi,poor,idle,63.43,31.27,100.0,10.92,61.26,4.99,14.99,5.0,0.79,1.68
8,16,raspberry_pi,poor,idle,69.35,31.95,100.0,10.61,61.88,5.09,19.15,5.27,1.12,0.72
9,16,raspberry_pi,poor,idle,72.87,32.46,100.0,10.51,61.82,5.08,20.42,5.43,1.2,1.09
10,16,raspberry_pi,poor,idle,79.16,30.55,100.0,8.93,63.38,5.17,23.23,3.64,1.02,1.05
11,16,raspberry_pi,poor,idle,83.63,31.23,100.0,9.61,64.07,5.25,24.31,5.45,1.05,2.31
12,16,raspberry_pi,poor,idle,76.62,32.79,100.0,8.35,65.82,5.16,17.27,6.52,1.1,2.16
13,16,raspberry_pi,poor,idle,81.48,30.86,100.0,8.54,67.12,5.09,24.71,3.65,0.7,1.14
14,16,raspberry_pi,poor,idle,74.23,32.71,100.0,9.75,67.08,5.06,16.19,6.72,1.26,1.25
15,16,raspberry_pi,poor,idle,77.16,30.29,100.0,8.59,67.89,5.03,21.37,3.22,1.07,1.62
16,16,raspberry_pi,poor,idle,71.43,32.72,100.0,9.63,67.71,4.98,16.28,7.25,1.0,0.85
17,16,raspberry_pi,poor,idle,73.22,33.77,100.0,10.79,66.51,5.07,19.21,6.6,0.9,2.47
18,16,raspberry_pi,poor,idle,63.82,30.82,100.0,9.69,66.11,5.11,11.24,3.61,1.3,1.59
19,16,raspberry_pi,poor,idle,60.87,29.8,100.0,9.77,64.87,5.19,11.83,3.83,1.14,2.44
0,17,raspberry_pi,poor,moderate,40.17,29.65,100.0,13.91,56.38,12.03,13.36,7.66,1.45,4.48
1,17,raspberry_pi,poor,moderate,42.79,32.56,100.0,15.9,53.78,11.94,10.16,7.14,0.88,3.96
2,17,raspberry_pi,poor,moderate,58.4,32.98,100.0,15.78,52.78,11.88,21.42,6.64,0.84,4.46
3,17,raspberry_pi,poor,moderate,55.07,33.33,100.0,14.16,53.07,11.95,11.52,6.2,1.35,3.5
4,17,raspberry_pi,poor,moderate,66.23,33.27,100.0,12.59,54.26,11.9,21.22,5.82,1.47,5.68
5,17,raspberry_pi,poor,moderate,69.32,31.05,100.0,13.61,54.28,11.86,19.72,3.53,0.84,4.3
6,17,raspberry_pi,poor,moderate,74.9,31.66,100.0,15.58,53.43,11.81,21.68,5.26,1.04,5.19
7,17,raspberry_pi,poor,moderate,68.9,33.21,100.0,15.39,52.44,12.12,14.59,6.45,1.39,4.02
8,17,raspberry_pi,poor,moderate,70.46,32.87,100.0,15.98,50.71,12.05,19.02,6.03,1.01,4.85
9,17,raspberry_pi,poor,moderate,63.71,32.55,100.0,14.33,50.55,12.0,12.19,5.76,0.74,5.14
10,17,raspberry_pi,poor,moderate,63.74,32.97,100.0,14.0,50.73,12.09,16.56,6.13,1.03,4.22
11,17,raspberry_pi,poor,moderate,74.06,32.2,100.0,12.95,52.33,12.1,23.62,4.8,0.9,3.04
12,17,raspberry_pi,poor,moderate,78.79,30.2,100.0,13.49,53.36,12.04,22.15,3.38,1.06,5.55
13,17,raspberry_pi,poor,moderate,83.9,31.25,100.0,13.54,53.54,12.05,23.92,5.66,0.86,4.04
14,17,raspberry_pi,poor,moderate,69.15,31.54,100.0,14.25,53.08,12.03,10.99,5.41,1.23,3.65
15,17,raspberry_pi,poor,moderate,70.99,33.38,100.0,16.87,51.47,12.0,19.11,7.19,1.32,4.46
16,17,raspberry_pi,poor,moderate,70.15,31.74,100.0,18.32,48.82,11.97,15.49,4.15,1.46,4.19
17,17,raspberry_pi,poor,moderate,65.9,30.77,100.0,17.32,47.5,12.0,13.84,4.66,0.5,5.06
18,17,raspberry_pi,poor,moderate,73.87,30.09,100.0,16.17,47.13,12.09,22.39,4.11,0.75,4.89
19,17,raspberry_pi,poor,moderate,64.72,29.29,100.0,15.33,47.42,12.05,12.22,3.52,0.57,3.61
0,18,raspberry_pi,poor,busy,40.54,27.57,100.0,12.37,57.72,25.89,14.62,5.89,0.77,9.71
1,18,raspberry_pi,poor,busy,60.28,31.56,100.0,11.21,58.38,27.03,21.89,7.3,1.17,7.86
2,18,raspberry_pi,poor,busy,59.75,33.19,100.0,12.8,57.58,28.63,13.59,6.97,0.51,7.42
3,18,raspberry_pi,poor,busy,68.31,32.55,100.0,12.69,57.14,30.93,20.12,5.56,1.06,9.94
4,18,raspberry_pi,poor,busy,60.6,31.36,100.0,13.09,57.05,32.75,11.62,4.51,0.52,6.49
5,18,raspberry_pi,poor,busy,73.52,30.06,100.0,14.33,56.24,34.93,24.12,3.64,1.4,7.37
6,18,raspberry_pi,poor,busy,78.29,29.7,100.0,12.87,56.05,37.33,22.45,3.98,1.15,6.64
7,18,raspberry_pi,poor,busy,80.23,31.48,100.0,11.84,56.72,39.87,22.38,6.23,0.53,8.25
8,18,raspberry_pi,poor,busy,67.0,31.04,100.0,11.98,57.26,42.68,12.62,4.95,0.82,9.74
9,18,raspberry_pi,poor,busy,73.52,30.54,100.0,10.84,58.29,46.05,22.59,3.84,1.22,9.78
10,18,raspberry_pi,poor,busy,69.51,32.05,100.0,14.05,56.37,49.2,17.66,5.96,0.88,7.16
11,18,raspberry_pi,poor,busy,65.68,32.7,100.0,16.55,53.15,52.17,13.37,5.78,1.05,6.69
12,18,raspberry_pi,poor,busy,57.05,34.49,100.0,14.67,52.45,55.44,10.24,7.71,1.44,8.3
13,18,raspberry_pi,poor,busy,53.85,32.49,100.0,13.77,52.69,58.48,11.02,4.87,0.92,6.41
14,18,raspberry_pi,poor,busy,65.2,33.01,100.0,12.58,53.67,61.82,21.42,5.82,0.5,9.62
15,18,raspberry_pi,poor,busy,71.22,32.7,100.0,12.74,54.78,65.04,20.85,5.38,0.84,8.26
16,18,raspberry_pi,poor,busy,65.64,33.02,100.0,12.95,55.49,68.31,13.47,5.76,1.15,7.37
17,18,raspberry_pi,poor,busy,60.27,34.46,100.0,12.83,56.54,71.55,10.87,7.23,0.99,7.9
18,18,raspberry_pi,poor,busy,68.95,33.67,100.0,9.13,59.15,75.14,20.86,5.62,0.62,9.29
19,18,raspberry_pi,poor,busy,61.03,34.81,100.0,9.48,60.92,78.84,11.54,7.19,1.06,8.57
